domain,career_link,has_jobs
airtable.com,https://airtable.com/jobs,Yes
anthropic.com,https://anthropic.com/jobs,Yes
asana.com,https://asana.com/careers,Yes
atlassian.com,https://atlassian.com/jobs,Yes
benchling.com,https://benchling.com/careers,Yes
brex.com,https://brex.com/careers,Yes
clickup.com,https://clickup.com/careers/jobs,Yes
confluent.io,https://confluent.io/jobs,Yes
databricks.com,https://databricks.com/careers/open-positions,No
digitalocean.com,https://digitalocean.com/careers,Yes
docker.com,https://docker.com/careers/jobs,No
duolingo.com,https://duolingo.com/careers,Yes
fastly.com,https://fastly.com/careers/open-positions,No
figma.com,https://figma.com/jobs,Yes
freshworks.com,https://www.freshworks.com/freshdesk/omni/,No
gitlab.com,https://gitlab.com/jobs,No
grafana.com,https://grafana.com/media/home/workflows/workflow_1.png,Yes
hashicorp.com,https://hashicorp.com/careers/jobs,No
hubspot.com,https://hubspot.com/careers/jobs,Yes
intercom.com,https://intercom.com/jobs,Yes
launchdarkly.com,https://launchdarkly.com/careers/open-positions,No
linear.app,https://linear.app/careers,Yes
loom.com,https://loom.com/careers,Yes
mailchimp.com,https://mailchimp.com/jobs,Yes
mixpanel.com,https://mixpanel.com/careers,Yes
monday.com,https://monday.com/careers,Yes
mongodb.com,https://mongodb.com/careers/open-positions,No
netlify.com,https://netlify.com/careers/open-positions,Yes
notion.so,https://notion.so/careers,Yes
pagerduty.com,https://pagerduty.com/careers/jobs,Yes
palantir.com,https://palantir.com/careers,Yes
plaid.com,https://plaid.com/how-it-works-for-consumers/,No
ramp.com,https://ramp.com/jobs,Yes
remotion.dev,https://remotion.dev/careers/open-positions,No
retool.com,https://retool.com/careers,Yes
scale.com,https://scale.com/careers/new-grad/strategic-projects,No
segment.com,https://segment.com/careers,No
sentry.io,https://sentry.io/careers/,Yes
stripe.com,https://stripe.com/in/jobs,Yes
supabase.com,https://supabase.com/careers,Yes
tigrisdata.com,https://tigrisdata.com/careers,Yes
turing.com,https://turing.com/careers/jobs,No
vanta.com,https://vanta.com/products/custom-frameworks,No
vercel.com,https://vercel.com/jobs,Yes
webflow.com,https://webflow.com/jobs,Yes
wix.com,https://careers.wix.com,Yes
zapier.com,https://zapier.com/about/careers,No
